time,source,title,url,amount,status,notes
2026-03-10T09:32:00Z,GitHub,[BOUNTY] Report a bug with reproduction steps,https://github.com/Scottcjn/Rustchain/issues/775,0.5 RTC,待评估,
2026-03-10T11:30:00Z,GitHub,BOUNTY 50 usd token,https://github.com/souvik0908/sei-sense/issues/1,$50 USD,待评估,
2026-03-10T11:30:00Z,GitHub,[BOUNTY] Ongoing Bug Bounty Program — Find Bugs, Earn RTC,https://github.com/Scottcjn/rustchain-bounties/issues/71,Up to 750 RTC,待评估,
2026-03-10T11:30:00Z,GitHub,[BOUNTY] Report a Bug — 5-15 RTC,https://github.com/Scottcjn/Rustchain/issues/305,5-15 RTC,待评估,
2026-03-10T11:30:00Z,GitHub,[BOUNTY] Break the RustChain Mechanism Spec + Falsification Matrix,https://github.com/Scottcjn/rustchain-bounties/issues/356,Undisclosed,待评估,
2026-03-10T11:30:00Z,GitHub,Bounties can be posted without authentication - security risk,https://github.com/datafund/Agent-Data-Exchange/issues/17,Undisclosed,待评估,
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 2 RTC] Star & Share Campaign — Help Us Hit 200 Stars on RustChain!,https://github.com/Scottcjn/rustchain-bounties/issues/1677,2 RTC,待执行,简单星级任务
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Report any accessibility issue in BoTTube UI,https://github.com/Scottcjn/rustchain-bounties/issues/1618,1 RTC,待执行,UI无障碍报告
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 3 RTC] Set up Dependabot or Renovate for any Elyan Labs repo,https://github.com/Scottcjn/rustchain-bounties/issues/1613,3 RTC,待执行,依赖自动化配置
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Add emoji reactions to 3+ issues showing support,https://github.com/Scottcjn/rustchain-bounties/issues/1611,1 RTC,待执行,简单互动任务
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 2 RTC] Add code comments explaining any complex function,https://github.com/Scottcjn/rustchain-bounties/issues/1608,2 RTC,待执行,代码注释补充
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Add a CONTRIBUTING.md to any repo missing one,https://github.com/Scottcjn/rustchain-bounties/issues/1605,1 RTC,待执行,文档补充
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 3 RTC] Create a Dockerfile for the RustChain miner,https://github.com/Scottcjn/rustchain-bounties/issues/1599,3 RTC,待执行,Docker配置
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 2 RTC] Add a RustChain badge to your GitHub profile,https://github.com/Scottcjn/rustchain-bounties/issues/1598,2 RTC,待执行,个人资料徽章
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Star all 5 Elyan Labs repos and share on social media,https://github.com/Scottcjn/rustchain-bounties/issues/1595,1 RTC,待执行,星级+分享任务
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 2 RTC] Translate any error message to your language,https://github.com/Scottcjn/rustchain-bounties/issues/1593,2 RTC,待执行,翻译任务
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 3 RTC] Add RustChain to any awesome-list or curated list,https://github.com/Scottcjn/rustchain-bounties/issues/1592,3 RTC,待执行,列表收录
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 5 RTC] Create a GitHub Action workflow for any Elyan Labs repo,https://github.com/Scottcjn/rustchain-bounties/issues/1591,5 RTC,待执行,CI/CD工作流
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Fix any typo or grammar error in docs,https://github.com/Scottcjn/rustchain-bounties/issues/1590,1 RTC,待执行,文档纠错
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 2 RTC] Write a unit test for any untested function,https://github.com/Scottcjn/rustchain-bounties/issues/1589,2 RTC,待执行,单元测试编写
2026-03-11T16:06:00Z,GitHub,[EASY BOUNTY: 1 RTC] Add type hints to any Python function in the codebase,https://github.com/Scottcjn/rustchain-bounties/issues/1588,1 RTC,待执行,Python类型提示
2026-03-11T16:06:00Z,GitHub,Register in Ecosystem Contributors — 5 RTC per registration,https://github.com/Scottcjn/rustchain-bounties/issues/1575,5 RTC,待执行,贡献者注册奖励
2026-03-11T16:06:00Z,GitHub,[BOUNTY] Report a bug with reproduction steps (0.5 RTC),https://github.com/Scottcjn/Rustchain/issues/775,0.5 RTC,待执行,Bug报告
2026-03-11T16:06:00Z,GitHub,[BOUNTY] Star the repo and share why (0.5 RTC),https://github.com/Scottcjn/Rustchain/issues/773,0.5 RTC,待执行,星级+反馈
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 1 RTC] BoTTube profile setup: avatar + bio + first published video,https://github.com/Scottcjn/rustchain-bounties/issues/1504,1 RTC,待执行,BoTTube资料设置
2026-03-11T16:06:00Z,GitHub,[BOUNTY: 5 RTC] Starstruck 128 Stars Celebration Graphic,https://github.com/Scottcjn/rustchain-bounties/issues/1115,5 RTC,待执行,庆祝海报设计
